asin,number_of_reviews,number_of_stars,price,product_name
B01MPWZ4M7,2.829,"4,4","12,95","Power Theory Panzerglasfolie kompatibel mit iPhone 7/8 (2 Stück) - Japanische 9H Panzerglas Folie, HD Displayschutzfolie/Panzerfolie, Tempered Glas Schutzglas, Schutzfolie Screen Protector Glass"
B07MGG1G4L,2.157,"4,2","45,99",【2019 Neueste】Antimi Bluetooth Kopfhörer Kabellos Noise Cancelling In Ear Ohrhörer Wireless Bluetooth 5.0 Headset mit 3000mAh Batterie Sport IPX7 Wasserdicht Mikrofon für iPhone Android
B07DBX67NC,586,"4,4","13,59","Anker PowerWave Wireless Charger Ladepad, Kabelloses 10W Ladegerät, Qi-Zertifiziert, Kompatibel mit iphone 11/11 Pro/11 Pro max/XR/XS/X/8,10W Schnellladungen, Samsung Galaxy S10/S9 / S9+ /S8/S8+ usw."
B07DX39RNS,662,"3,7","8,91",Samsung Original Typ C Ladegerät Schnellladegerät EP-TA20EBE Farbe Schwarz inkl. USB Typ-C Ladekabel Schnellladekabel Galaxy S8 S8+ S9 Plus S9+ A3 A5 A7 2017 USB-C
B07JNJGM1G,384,"4,3","9,85","UNBREAKcable Panzerglas [2er Pack] Panzerglasfolie Kompatibel mit iPhone 11 Pro/XS/X/10 (5.8 Zoll), 2.5D Double Defense Series Displayschutzfolie, Kratzfest, Anti-Fingerprint, und Blasenfrei"
B01F9RH0R4,1.304,"4,5","7,99","AmazonBasics Verbindungskabel Lightning-auf-USB-A, Nylon, geflochten, 1,8 m, zertifiziert von Apple, Dunkelgrau"
B006XE8DEC,3.842,"4,4","4,89","VARTA Batterien Electronics CR2025 Lithium Knopfzelle (3V Batterie, 5er Pack Knopfzellen in Original 5er Blisterverpackung)"
B01JS1WJP0,,,"15,99","Anker iPhone Ladekabel, Lightning Kabel 2-Pack 1.8m Nylon iPhone Kabel [MFi Zertifiziert] für iPhone XR iPhone 7,iPhone X,iPhone 8,iPhone 6s iPhone 6, iPhone 7, iPhone XS/XS MAX/8 Plus (Grau)"
B07D6NGPNS,752,"4,3","8,99","UNBREAKcable iPhone Ladekabel, Lightning Kabel - 1M [MFi-Zertifiziert] - Datenkabel geeignet für iPhone X iPhone 8, iPhone 6s iPhone 6, iPhone 7, iPhone XS/XS MAX/XR, iPad Air (Silber-Grau)"
B07NH3C1KN,392,"4,4","229,00","Samsung Galaxy M20 Smartphone (16.0cm (6.3 Zoll) 64GB interner Speicher, 4GB RAM, Charcoal Black) - Deutsche Version [Exklusiv bei Amazon]"
B00TYEL11K,3.818,"4,4","3,67","VARTA Batterien Electronics Lithium Knopfzelle 3V Batterie 5er Pack Knopfzellen in Original 5er Blisterverpackung, CR2032"
B07WGSWGNY,31,"4,4","33,48","CBBH Bluetooth Kopfhörer, in Ear Bluetooth 5.0 Headset Stereo-Minikopfhörer Sport Kabellose Kopfhörer mit Portable Mini Ladekästchen und Integriertem Mikrofon für Apple Airpod Android iPhone"
B07SZHHK5L,14,"4,7","7,99","Spigen Liquid Crystal Kompatibel mit iPhone 11 Hülle, Transparent TPU Silikon Handyhülle für iPhone XI Case Crystal Clear 076CS27179"
B07PDHSPXT,15.446,"4,6","42,99","Echo Dot (3. Gen.) Intelligenter Lautsprecher mit Alexa, Sandstein Stoff"
B00GMED7YO,,,"2,45",Batterie Knopfzelle 10 Stück AG 13 LR44
B07VX691CC,39,"4,9","15,99",TORRAS Ultra Clear iPhone 11 Pro Hülle(5.8) Transparent & Anti Gelb Aufgerüstet Material Handyhülle iPhone 11 Pro Case Hart PC Back& Weich TPU Bumper Klar Schutzhülle für iPhone 11 Pro - Transparent
B0787SZTQV,,,"8,99","OMOTON [3 Stück] Schutzfolie für iPhone 8 Plus/iPhone 7 Plus [5,5 Zoll], mit Schablone,9H Härte,Anti-Kratzer,Anti-Öl,Anti-Bläschen"
B06XZH8SKF,,,"9,99","JETech Hülle für iPad (9,7 Zoll, Modell 2018/2017, 6. / 5. Generation), Intelligent Schutzhülle mit Auto Schlafen/Wachen, Schwarz"
B07GHR12XH,523,"4,4","7,99","Spigen Liquid Crystal Kompatibel mit iPhone XR Hülle, 064CS24866 Transparent TPU Silikon Handyhülle Durchsichtige Schutzhülle Case (Crystal Clear)"
B01JKXW8DE,2.301,"4,4","10,99","Avolare® Handyhalterung Auto Handyhalter fürs Auto Lüftung Universale Handy KFZ Halterungen Phone Halter [Einzigartiges Design, Hohe Qualität] für Phone, Samsung, Huawei, LG und mehr-Grau"
B014I8T0YQ,3.495,"4,6","6,79","AmazonBasics Hochgeschwindigkeits-HDMI-Kabel 2.0, Ethernet, 3D, 4K-Videowiedergabe und ARC, Ultra-HD, 3 m"
B07VSNX4GG,,,"15,99",TORRAS HD Hybrid iPhone 11 Hülle [Transparent & Anti Gelb] Stoßfest Klar iPhone 11 Case Hard PC Back & Soft TPU Bumper Cover Handyhülle für iPhone 11 - Transparent
B01MTB55WH,3.244,"4,5","41,99","Anker SoundCore 2 Bluetooth Lautsprecher, Duale Bass-Treiber, 24h Wiedergabe, 20m Reichweite, Verbesserter IPX7 Wasserschutz, mit eingebautem Mikrofon, Kabelloser Lautsprecher für iPhone, Samsung usw."
B01MG62Z5M,878,"4,0","9,99",JBL T110\xa0In-Ear-Kopfhörer mit Steuerung und Mikrofon schwarz
B07K17NZTP,,,"12,99","UTECTION 2X Full Screen Schutzglas 3D für iPhone XR & iPhone 11 (6.1"") - Perfekte Anbringung Dank Rahmen - Premium Displayschutz 9H Glas - Kompletter Schutz Vorne - Folie Schutzfolie Schwarz Clear"
B07P5C6MDT,287,"4,4","7,88","A-VIDET 3 Stück Schutzfolie für Samsung Galaxy A50,9H Härte Super Langlebig, Anti-Öl,Schutzfoliefolie Displayschutz Displayschutzfolie für Samsung Galaxy A50"
B00CWNMV4G,,,"13,99","AmazonBasics Vorgeladene Ni-MH AA-Akkus - Akkubatterien (1.000 Zyklen, typisch 2000mAh, minimal 1900mAh) 8 Stck (Äußere Hülle kann von Darstellung abweichen)"
B07J5W3LN8,974,"4,5","19,99","SVMUU Fieberthermometer Stirnthermometer Ohrthermometer, Infrarot Thermometer für Babys, Erwachsene und Objekte，1 Sekunde Messzeit, Speicherfunktion, Hochtemperaturalarm genehmigt (CE) / ROHS/FDA"
B0033DD43G,,,"10,16","VARTA Industrial Batterie (AAA Micro Alkaline Batterien LR03, 40er pack)"
B07NQ7ZN4C,,,"45,99",【Neuestes Modell】 Antimi Bluetooth Kopfhörer Kabellos in Ear Kopfhoerer Sport Wireless Bluetooth 5.0 Headset mit 140 Stunden Spielzeit/Digitalanzeige/IPX7 Wasserdicht für iPhone Huawei Samsung
B07VSLWK19,,,"12,99","TORRAS Ultra Dünn iPhone 11 Hülle mit Panzerglas, [1 Hülle+1 Panzerglas] Schutzfolie Slim Stoßfest iPhone 11 Case Tasche Schale Hardcase Matt Anti-Scratch Cover Handyhülle für iPhone 11 - Schwarz"
